Scaffold ID,Scaffold Name,Scaffold Topology,Type,Genome ID,Genome,Gene Count,Sequence Length,GC Content,Read Depth,Lineage Domain,Lineage Phylum,Lineage Class,Lineage Order,Lineage Family,Lineage Genus,Lineage Species,Lineage Percentage
3300049256 assembled Ga0508132_00953,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",12,7431,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_01032,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",10,6818,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_01057,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",5,6648,0.63,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_01308,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",6,5179,0.66,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_01414,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",5,4681,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_01998,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",4,3071,0.68,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_10094,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,817,0.59,1,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium sp. SG733,1
3300049256 assembled Ga0508132_11069,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",2,774,0.62,1,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,1
3300049256 assembled Ga0508132_13576,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",2,691,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium selenitireducens,1
3300049256 assembled Ga0508132_15074,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,654,0.58,1,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium sp. SG733,1
3300049256 assembled Ga0508132_16299,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,628,0.66,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_21871,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",2,541,0.61,1,,,,,,,,
3300049256 assembled Ga0508132_23417,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,523,0.63,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium selenitireducens,1
3300049256 assembled Ga0508132_24533,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,511,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium selenitireducens,1
3300049256 assembled Ga0508132_34544,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,436,0.61,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. ACO-34A,1
3300049256 assembled Ga0508132_35131,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,433,0.61,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Ciceribacter,Ciceribacter lividus,1
3300049256 assembled Ga0508132_41019,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,409,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas sp. B29,1
3300049256 assembled Ga0508132_41576,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,407,0.62,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. ACO-34A,1
3300049256 assembled Ga0508132_42775,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,403,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas sp. AAP120,1
3300049256 assembled Ga0508132_43797,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,400,0.57,1,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium sp. SG733,1
3300049256 assembled Ga0508132_43992,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,399,0.69,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_47801,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",2,387,0.66,1,,,,,,,,
3300049256 assembled Ga0508132_50483,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,379,0.58,1,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium sp. SG733,1
3300049256 assembled Ga0508132_51761,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,376,0.66,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_52335,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,374,0.63,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Pleomorphomonadaceae,Pleomorphomonas,Pleomorphomonas oryzae,1
3300049256 assembled Ga0508132_53983,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,370,0.69,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_55445,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,365,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_60704,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,352,0.47,1,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Sporomusa acidovorans,1
3300049256 assembled Ga0508132_63279,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,345,0.58,1,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium sp. SG733,1
3300049256 assembled Ga0508132_66274,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,338,0.61,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_66679,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,337,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049256 assembled Ga0508132_70418,,,,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*)",1,325,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_000211,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,289,0.66,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_000264,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,336,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_000488,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,1132,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_000625,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,717,0.66,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_000952,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,378,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_001398,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",4,5090,0.68,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_001875,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,360,0.61,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_002284,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,299,0.6,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas pseudopalustris,1
3300049257 assembled Ga0508133_002370,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,861,0.62,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_002650,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,1022,0.63,1,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Rhizomicrobium,Rhizomicrobium palustre,1
3300049257 assembled Ga0508133_002796,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,341,0.62,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_002937,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,376,0.62,1,,,,,,,,
3300049257 assembled Ga0508133_003017,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,281,0.7,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_003265,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,210,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_003442,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,282,0.6,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_003510,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,324,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_003718,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,231,0.61,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_003942,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",6,4250,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_004164,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,260,0.61,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_004403,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,263,0.66,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_004428,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",4,2725,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_004480,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,542,0.6,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_004567,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,391,0.61,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_005423,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",4,2167,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_005497,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,2083,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_005511,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,237,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_005634,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,715,0.68,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_005764,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,520,0.66,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_005931,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,283,0.67,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_005960,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",3,2688,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_006568,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",4,2779,0.65,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_007169,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",2,1432,0.62,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_007208,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",4,3854,0.66,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_008494,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,513,0.62,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_009086,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,282,0.67,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_009291,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,213,0.67,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_009304,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,241,0.63,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_009493,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,284,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
3300049257 assembled Ga0508133_009547,,,,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*)",1,647,0.64,1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,1
