Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Partial Gene,Add Date,Is Public,Sequencing Status,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,SMART,SUPERFam,CATH FunFam,Enzyme,KO,IMG Term,MyIMG (self),MyIMG (group),MyIMG (public)
3300049256 assembled Ga0508132_00028_19260_20021,null,Fe-only nitrogenase accessory protein AnfO,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",1,,,,19260,20021,-,762,253,CDS,,,,No,Draft,,,Ga0508132_00028,,Ga0508132_00028,88537,0.61,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
3300049256 assembled Ga0508132_00907_2047_2787,null,Fe-only nitrogenase accessory protein AnfO,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",1,,,,2047,2787,-,741,246,CDS,,,,No,Draft,,,Ga0508132_00907,,Ga0508132_00907,7793,0.64,1,,pfam09582===Iron only nitrogenase protein AnfO (AnfO_nitrog),TIGR02940===Fe-only nitrogenase accessory protein AnfO,,,,,,,,,
3300049257 assembled Ga0508133_047387_53_472,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,53,472,#ERROR!,420,140,CDS,,,,No,Draft,,,Ga0508133_047387,,Ga0508133_047387,474,0.64,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02929===Fe-only nitrogenase, delta subunit",,53254===Phosphoglycerate mutase-like,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049257 assembled Ga0508133_067640_80_295,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,80,295,#ERROR!,216,72,CDS,,,,No,Draft,,,Ga0508133_067640,,Ga0508133_067640,297,0.64,1,,,,,48239===Terpenoid cyclases/Protein prenyltransferases,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049257 assembled Ga0508133_060320_1_336,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,1,336,#ERROR!,336,112,CDS,,,,No,Draft,,,Ga0508133_060320,,Ga0508133_060320,338,0.64,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02929===Fe-only nitrogenase, delta subunit",,53254===Phosphoglycerate mutase-like,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049257 assembled Ga0508133_015973_22427_22762,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,22427,22762,#ERROR!,336,111,CDS,,,,No,Draft,,,Ga0508133_015973,,Ga0508133_015973,49653,0.63,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02930===V-containing nitrogenase, delta subunit",,,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049257 assembled Ga0508133_013440_80_235,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,80,235,#ERROR!,156,52,CDS,,,,No,Draft,,,Ga0508133_013440,,Ga0508133_013440,237,0.63,1,,,,,48239===Terpenoid cyclases/Protein prenyltransferases,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049256 assembled Ga0508132_00043_22363_22698,null,nitrogenase delta subunit,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",1,,,,22363,22698,#ERROR!,336,111,CDS,,,,No,Draft,,,Ga0508132_00043,,Ga0508132_00043,66603,0.63,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02930===V-containing nitrogenase, delta subunit",,,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049256 assembled Ga0508132_00907_4220_4660,null,nitrogenase delta subunit,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",1,,,,4220,4660,-,441,146,CDS,,,,No,Draft,,,Ga0508132_00907,,Ga0508132_00907,7793,0.64,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02929===Fe-only nitrogenase, delta subunit",,53254===Phosphoglycerate mutase-like,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049257 assembled Ga0508133_047470_3_431,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,3,431,-,429,143,CDS,,,,No,Draft,,,Ga0508133_047470,,Ga0508133_047470,483,0.65,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02929===Fe-only nitrogenase, delta subunit",,53254===Phosphoglycerate mutase-like,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049257 assembled Ga0508133_058713_527_967,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,527,967,#ERROR!,441,146,CDS,,,,No,Draft,,,Ga0508133_058713,,Ga0508133_058713,3359,0.66,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02929===Fe-only nitrogenase, delta subunit",,53254===Phosphoglycerate mutase-like,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049257 assembled Ga0508133_040163_3_380,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,3,380,-,378,126,CDS,,,,No,Draft,,,Ga0508133_040163,,Ga0508133_040163,450,0.64,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02929===Fe-only nitrogenase, delta subunit",,48239===Terpenoid cyclases/Protein prenyltransferases,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049256 assembled Ga0508132_00028_21558_21908,null,nitrogenase delta subunit,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",1,,,,21558,21908,-,351,116,CDS,,,,No,Draft,,,Ga0508132_00028,,Ga0508132_00028,88537,0.61,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02929===Fe-only nitrogenase, delta subunit",,,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049257 assembled Ga0508133_068354_50755_51105,null,nitrogenase delta subunit,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,50755,51105,#ERROR!,351,116,CDS,,,,No,Draft,,,Ga0508133_068354,,Ga0508133_068354,72662,0.62,1,,pfam03139===Vanadium/alternative nitrogenase delta subunit,"TIGR02929===Fe-only nitrogenase, delta subunit",,,,EC:1.18.6.1===Nitrogenase.,KO:K00531===anfG===nitrogenase delta subunit [EC:1.18.6.1],,,,
3300049256 assembled Ga0508132_52335_1_372,null,nitrogenase iron protein NifH,3300049256,"Lab enriched compost microbial communities from Needham, MA, USA - 01 SPAdes assembly (*) (MER-FS) (assembled)",1,,,,1,372,#ERROR!,372,124,CDS,,,,No,Draft,,,Ga0508132_52335,,Ga0508132_52335,374,0.63,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_078228_1_207,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,1,207,-,207,69,CDS,,,,No,Draft,,,Ga0508133_078228,,Ga0508133_078228,207,0.63,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_101348_1_114,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,1,114,#ERROR!,114,37,CDS,,,,No,Draft,,,Ga0508133_101348,,Ga0508133_101348,708,0.65,1,,,,"SM00852===This domain is found a variety of proteins involved in biosynthesis of molybdopterin cofactor. The domain is presumed to bind molybdopterin. The structure of this domain is known, and it forms an alpha/beta structure. In the known structure of Gephyrin this domain mediates trimerisation.",,,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_055798_679_927,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,679,927,-,249,82,CDS,,,,No,Draft,,,Ga0508133_055798,,Ga0508133_055798,930,0.65,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_049217_3_206,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,3,206,#ERROR!,204,68,CDS,,,,No,Draft,,,Ga0508133_049217,,Ga0508133_049217,208,0.66,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_038945_213_326,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,213,326,-,114,37,CDS,,,,No,Draft,,,Ga0508133_038945,,Ga0508133_038945,326,0.63,1,,,,"SM00852===This domain is found a variety of proteins involved in biosynthesis of molybdopterin cofactor. The domain is presumed to bind molybdopterin. The structure of this domain is known, and it forms an alpha/beta structure. In the known structure of Gephyrin this domain mediates trimerisation.",,,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_077071_72673_73563,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,72673,73563,#ERROR!,891,296,CDS,,,,No,Draft,,,Ga0508133_077071,,Ga0508133_077071,76655,0.65,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",TIGR01287===nitrogenase iron protein,SM00382===AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_026134_397_1107,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,397,1107,#ERROR!,711,237,CDS,,,,No,Draft,,,Ga0508133_026134,,Ga0508133_026134,1107,0.63,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",TIGR01287===nitrogenase iron protein,SM00382===AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_095666_5_280,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,5,280,#ERROR!,276,92,CDS,,,,No,Draft,,,Ga0508133_095666,,Ga0508133_095666,282,0.65,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_020903_148_264,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,148,264,-,117,38,CDS,,,,No,Draft,,,Ga0508133_020903,,Ga0508133_020903,266,0.68,1,,,,,,,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_025105_347391_348218,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,347391,348218,-,828,275,CDS,,,,No,Draft,,,Ga0508133_025105,,Ga0508133_025105,475970,0.47,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",TIGR01287===nitrogenase iron protein,SM00382===AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_046223_79_279,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,79,279,#ERROR!,201,67,CDS,,,,No,Draft,,,Ga0508133_046223,,Ga0508133_046223,279,0.62,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,SM00382===AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_054637_3_317,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,3,317,-,315,105,CDS,,,,No,Draft,,,Ga0508133_054637,,Ga0508133_054637,318,0.64,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_043773_3_356,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,3,356,-,354,118,CDS,,,,No,Draft,,,Ga0508133_043773,,Ga0508133_043773,356,0.64,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_046045_2_283,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,2,283,-,282,94,CDS,,,,No,Draft,,,Ga0508133_046045,,Ga0508133_046045,283,0.62,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_036718_3_122,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,3,122,-,120,40,CDS,,,,No,Draft,,,Ga0508133_036718,,Ga0508133_036718,218,0.6,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,SM00382===AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_068354_48179_49006,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,48179,49006,#ERROR!,828,275,CDS,,,,No,Draft,,,Ga0508133_068354,,Ga0508133_068354,72662,0.62,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",TIGR01287===nitrogenase iron protein,SM00382===AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_003265_7_210,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,7,210,#ERROR!,204,68,CDS,,,,No,Draft,,,Ga0508133_003265,,Ga0508133_003265,210,0.65,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,SM00382===AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_045408_28_216,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,28,216,-,189,62,CDS,,,,No,Draft,,,Ga0508133_045408,,Ga0508133_045408,434,0.63,1,"COG1348===Nitrogenase subunit NifH, an ATPase",,,,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
3300049257 assembled Ga0508133_098832_3_203,null,nitrogenase iron protein NifH,3300049257,"Lab enriched compost microbial communities from Needham, MA, USA - 01 MEGAHIT assembly (*) (MER-FS) (assembled)",1,,,,3,203,-,201,67,CDS,,,,No,Draft,,,Ga0508133_098832,,Ga0508133_098832,225,0.64,1,"COG1348===Nitrogenase subunit NifH, an ATPase","pfam00142===4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family",,SM00382===AAA - ATPases associated with a variety of cellular activities. This profile/alignment only detects a fraction of this vast family. The poorly conserved N-terminal helix is missing from the alignment.,52540===P-loop containing nucleoside triphosphate hydrolases,3.40.50.300===P-loop containing nucleotide triphosphate hydrolases,EC:1.18.6.1===Nitrogenase.,KO:K02588===nifH===nitrogenase iron protein NifH,,,,
